,Nr,Artikelnr,Istmenge,Kst Id,Beginn,Ende
0,18005,717221,22000,ZSK 70/8,21.02.2022 20:15:00,22.02.2022 18:00:00
1,18006,717221,22000,ZSK 70/8,22.02.2022 18:00:00,23.02.2022 14:45:00
2,18007,717221,22000,ZSK 70/8,23.02.2022 14:45:00,24.02.2022 10:00:00
3,18008,717221,19000,ZSK 70/8,26.02.2022 01:00:00,01.03.2022 06:00:00
4,18008,717221,19000,ZSK 70/8,26.02.2022 01:00:00,01.03.2022 06:00:00
5,18009,717221,22000,ZSK 70/8,01.03.2022 07:45:00,02.03.2022 06:05:00
6,18010,717221,22000,ZSK 70/8,02.03.2022 06:05:00,03.03.2022 01:45:00
7,18080,717221,7000,ZSK 70/4,24.02.2022 00:30:00,24.02.2022 11:00:00
8,18080,717221,7500,ZSK 70/5,24.02.2022 00:30:00,24.02.2022 11:00:00
9,18080,717221,7500,ZSK 70/9,24.02.2022 00:30:00,24.02.2022 11:00:00
10,18081,717221,7500,ZSK 70/4,24.02.2022 11:00:00,24.02.2022 20:45:00
11,18081,717221,7000,ZSK 70/5,24.02.2022 11:00:00,24.02.2022 20:45:00
12,18081,717221,7500,ZSK 70/9,24.02.2022 11:00:00,24.02.2022 20:45:00
13,18082,717221,7500,ZSK 70/4,24.02.2022 20:45:00,25.02.2022 11:00:00
14,18082,717221,7500,ZSK 70/9,24.02.2022 20:45:00,25.02.2022 11:00:00
15,18083,717221,7000,ZSK 70/4,25.02.2022 06:30:00,25.02.2022 16:45:00
16,18083,717221,7500,ZSK 70/5,25.02.2022 06:30:00,25.02.2022 16:45:00
17,18083,717221,7500,ZSK 70/9,25.02.2022 06:30:00,25.02.2022 16:45:00
18,18084,717221,7500,ZSK 70/4,25.02.2022 16:45:00,26.02.2022 03:00:00
19,18084,717221,7000,ZSK 70/5,25.02.2022 16:45:00,26.02.2022 03:00:00
20,18084,717221,7500,ZSK 70/9,25.02.2022 16:45:00,26.02.2022 01:45:00
21,18103,717221,22000,ZSK 70/8,03.03.2022 01:45:00,03.03.2022 19:05:00
22,18104,717221,22000,ZSK 70/8,03.03.2022 19:05:00,04.03.2022 14:20:00
23,18105,717221,22000,ZSK 70/8,04.03.2022 14:20:00,07.03.2022 13:30:00
24,18211,717221,22000,ZSK 70/8,07.03.2022 13:30:00,08.03.2022 07:45:00
25,18212,717221,22000,ZSK 70/8,08.03.2022 07:45:00,09.03.2022 02:15:00
26,18213,717221,22000,ZSK 70/8,09.03.2022 02:15:00,09.03.2022 20:30:00
27,18214,717221,22000,ZSK 70/8,09.03.2022 20:30:00,10.03.2022 17:50:00
28,18215,717221,22000,ZSK 70/8,10.03.2022 17:50:00,11.03.2022 11:40:00
29,18216,717221,22000,ZSK 70/8,11.03.2022 11:40:00,14.03.2022 13:00:00
30,18295,717221,22000,ZSK 70/8,15.03.2022 13:00:00,15.03.2022 06:45:00
31,18296,717221,22000,ZSK 70/8,15.03.2022 06:45:00,16.03.2022 01:40:00
32,18297,717221,22000,ZSK 70/8,16.03.2022 01:40:00,16.03.2022 18:15:00
33,18298,717221,22000,ZSK 70/8,16.03.2022 18:15:00,17.03.2022 13:45:00
34,18299,717221,22000,ZSK 70/8,17.03.2022 13:45:00,18.03.2022 12:45:00
35,18300,717221,12000,ZSK 70/8,18.03.2022 12:45:00,18.03.2022 23:15:00
36,18301,717221,22000,ZSK 70/8,24.03.2022 08:00:00,25.03.2022 02:15:00
37,18302,717221,22000,ZSK 70/8,25.03.2022 02:15:00,25.03.2022 21:10:00
38,18303,717221,22000,ZSK 70/8,25.03.2022 21:10:00,28.03.2022 19:30:00
39,18304,717221,22000,ZSK 70/8,28.03.2022 19:30:00,29.03.2022 13:40:00
40,18305,717221,22000,ZSK 70/8,29.03.2022 13:40:00,30.03.2022 17:30:00
41,18306,717221,22000,ZSK 70/8,30.03.2022 17:30:00,31.03.2022 13:20:00
42,18307,717221,22000,ZSK 70/8,31.03.2022 13:20:00,31.03.2022 23:59:00
43,18314,717221,15000,ZSK 70/5,14.03.2022 10:00:00,15.03.2022 06:30:00
44,18314,717221,7000,ZSK 70/9,14.03.2022 20:00:00,15.03.2022 06:30:00
45,18315,717221,11000,ZSK 70/5,15.03.2022 06:30:00,16.03.2022 05:25:00
46,18315,717221,11000,ZSK 70/9,15.03.2022 06:30:00,16.03.2022 05:25:00
47,18316,717221,16000,ZSK 70/5,16.03.2022 05:25:00,17.03.2022 01:45:00
48,18316,717221,6000,ZSK 70/9,16.03.2022 05:25:00,17.03.2022 01:45:00
49,18317,717221,18000,ZSK 70/5,17.03.2022 01:45:00,18.03.2022 03:20:00
50,18317,717221,4000,ZSK 70/9,17.03.2022 01:45:00,18.03.2022 03:20:00
51,18318,717221,11000,ZSK 70/5,18.03.2022 03:20:00,18.03.2022 18:25:00
52,18318,717221,11000,ZSK 70/9,18.03.2022 03:20:00,18.03.2022 18:25:00
53,18319,717221,3500,ZSK 70/5,18.03.2022 18:25:00,18.03.2022 23:15:00
54,18319,717221,3500,ZSK 70/9,18.03.2022 18:25:00,18.03.2022 23:15:00
55,18326,717221,7000,ZSK 70/4,22.03.2022 10:00:00,22.03.2022 20:10:00
56,18326,717221,9000,ZSK 70/5,22.03.2022 09:00:00,22.03.2022 20:10:00
57,18326,717221,6000,ZSK 70/9,22.03.2022 00:15:00,22.03.2022 00:00:00
58,18327,717221,11000,ZSK 70/4,22.03.2022 20:10:00,23.03.2022 11:30:00
59,18327,717221,11000,ZSK 70/5,22.03.2022 20:10:00,23.03.2022 11:30:00
60,18328,717221,8000,ZSK 70/4,23.03.2022 11:30:00,23.03.2022 22:30:00
61,18328,717221,8000,ZSK 70/5,23.03.2022 11:30:00,23.03.2022 22:30:00
62,18328,717221,6000,ZSK 70/9,23.03.2022 11:30:00,23.03.2022 22:30:00
63,18329,717221,7500,ZSK 70/4,23.03.2022 22:30:00,24.03.2022 07:50:00
64,18329,717221,7500,ZSK 70/5,23.03.2022 22:30:00,24.03.2022 07:50:00
65,18329,717221,7000,ZSK 70/9,23.03.2022 22:30:00,24.03.2022 07:45:00
66,18329,717221,7500,ZSK 70/4,23.03.2022 22:30:00,24.03.2022 07:50:00
67,18329,717221,7500,ZSK 70/5,23.03.2022 22:30:00,24.03.2022 07:50:00
68,18329,717221,7000,ZSK 70/9,23.03.2022 22:30:00,24.03.2022 07:45:00
69,18330,717221,8000,ZSK 70/4,24.03.2022 07:30:00,24.03.2022 19:20:00
70,18330,717221,8000,ZSK 70/5,24.03.2022 07:30:00,24.03.2022 19:20:00
71,18330,717221,6000,ZSK 70/9,24.03.2022 07:30:00,24.03.2022 19:20:00
72,18331,717221,7500,ZSK 70/4,24.03.2022 19:20:00,25.03.2022 05:25:00
73,18331,717221,7500,ZSK 70/5,24.03.2022 19:20:00,25.03.2022 05:25:00
74,18331,717221,7000,ZSK 70/9,24.03.2022 19:20:00,25.03.2022 05:25:00
75,18332,717221,9000,ZSK 70/4,25.03.2022 05:25:00,25.03.2022 18:00:00
76,18332,717221,8000,ZSK 70/5,25.03.2022 05:25:00,25.03.2022 18:00:00
77,18332,717221,5000,ZSK 70/9,25.03.2022 05:25:00,25.03.2022 18:00:00
78,18333,717221,9000,ZSK 70/4,25.03.2022 18:00:00,28.03.2022 09:50:00
79,18333,717221,9000,ZSK 70/5,25.03.2022 18:00:00,28.03.2022 09:50:00
80,18333,717221,4000,ZSK 70/9,25.03.2022 18:00:00,26.03.2022 02:00:00
81,18334,717221,11000,ZSK 70/4,28.03.2022 09:50:00,29.03.2022 00:35:00
82,18334,717221,11000,ZSK 70/5,28.03.2022 09:50:00,29.03.2022 00:35:00
