,Nr,Artikelnr,Istmenge,Kst Id,Beginn,Ende
0,18021,800031,10000,ZSK 70/10,26.02.2022 00:35:00,01.03.2022 05:30:00
1,18021,800031,12000,ZSK 70/7,26.02.2022 00:35:00,01.03.2022 05:30:00
2,18024,800031,11000,ZSK 70/10,03.03.2022 09:25:00,04.03.2022 14:10:00
3,18024,800031,11000,ZSK 70/7,03.03.2022 09:25:00,04.03.2022 14:10:00
4,19714,800031,22000,ZSK 70/7,07.11.2022 09:00:00,09.11.2022 21:45:00
5,18429,800031,8500,ZSK 70/10,08.04.2022 16:20:00,12.04.2022 00:30:00
6,18429,800031,13500,ZSK 70/7,08.04.2022 16:20:00,12.04.2022 00:30:00
7,18699,800031,2150,ZSK 70/10,21.04.2022 10:15:00,21.04.2022 18:00:00
8,18287,800031,9500,ZSK 70/10,23.03.2022 00:15:00,24.03.2022 00:30:00
9,18287,800031,12500,ZSK 70/7,23.03.2022 00:15:00,24.03.2022 00:30:00
10,18858,800031,10897,ZSK 70/6,30.05.2022 08:20:00,30.05.2022 22:45:00
11,18289,800031,3000,ZSK 70/10,25.03.2022 02:25:00,25.03.2022 11:10:00
12,18289,800031,4000,ZSK 70/7,25.03.2022 02:25:00,25.03.2022 10:50:00
13,18018,800031,6000,ZSK 70/10,22.02.2022 05:40:00,23.02.2022 16:20:00
14,18018,800031,16000,ZSK 70/7,22.02.2022 05:40:00,23.02.2022 16:20:00
15,18427,800031,9800,ZSK 70/10,06.04.2022 10:30:00,07.04.2022 13:35:00
16,18427,800031,12200,ZSK 70/7,06.04.2022 10:30:00,07.04.2022 13:35:00
17,18294,800031,10200,ZSK 70/10,02.04.2022 07:30:00,05.04.2022 09:55:00
18,18294,800031,11800,ZSK 70/7,04.04.2022 08:30:00,05.04.2022 09:55:00
19,19714,800031,22000,ZSK 70/7,07.11.2022 09:00:00,09.11.2022 21:45:00
20,18284,800031,10000,ZSK 70/10,17.03.2022 15:45:00,18.03.2022 16:30:00
21,18284,800031,12000,ZSK 70/7,17.03.2022 15:45:00,18.03.2022 16:30:00
22,18282,800031,10000,ZSK 70/10,15.03.2022 13:15:00,16.03.2022 13:45:00
23,18282,800031,12000,ZSK 70/7,15.03.2022 13:10:00,16.03.2022 13:45:00
24,18430,800031,9500,ZSK 70/10,12.04.2022 00:30:00,13.04.2022 00:15:00
25,18430,800031,12500,ZSK 70/7,12.04.2022 00:30:00,13.04.2022 00:15:00
26,18426,800031,9900,ZSK 70/10,05.04.2022 09:55:00,06.04.2022 10:30:00
27,18426,800031,12100,ZSK 70/7,05.04.2022 09:55:00,06.04.2022 10:30:00
28,18391,800031,22000,ZSK 70/6,03.03.2022 09:00:00,04.03.2022 07:15:00
29,19715,800031,22000,ZSK 70/7,09.11.2022 21:45:00,12.11.2022 03:15:00
30,18428,800031,12000,ZSK 70/7,07.04.2022 13:35:00,08.04.2022 16:20:00
31,18431,800031,8000,ZSK 70/10,13.04.2022 00:15:00,14.04.2022 04:45:00
32,18431,800031,14000,ZSK 70/7,13.04.2022 00:15:00,14.04.2022 04:45:00
