,Produktname,Line,Charge,Uhrzeit,L,a,b,YI,Beginn,Ende,current_time
0,BP 110/02 (717221),ZSK 70.8,22010314,18:00,73.47,4.64,23.09,52.03,29.04.2022 03:15:00,29.04.2022 21:30:00,2022-04-29 18:00:00
1,BP 110/02 (717221),ZSK 70.8,22010315,11:00,72.5,5.18,23.46,53.71,29.04.2022 21:30:00,30.04.2022 03:00:00,2022-04-30 11:00:00
2,BP 110/02 (717221),ZSK 70.5,22010373,11:00,76.41,3.76,21.79,47.55,02.05.2022 08:00:00,03.05.2022 22:45:00,2022-05-02 11:00:00
3,BP 110/02 (717221),ZSK 70.4,22010373,12:15,75.71,4.09,22.69,49.73,02.05.2022 07:15:00,03.05.2022 22:30:00,2022-05-02 12:15:00
4,BP 110/02 (717221),ZSK 70.4,22010373,12:15,76.01,3.92,22.75,49.54,02.05.2022 10:40:00,03.05.2022 22:30:00,2022-05-02 12:15:00
5,BP 110/02 (717221),ZSK 70.8,22010315,18:00,73.15,4.97,23.9,53.92,02.05.2022 10:40:00,03.05.2022 22:30:00,2022-05-02 18:00:00
6,BP 110/02 (717221),ZSK 70.8,22010315,23:15,73.18,4.92,23.26,52.75,29.04.2022 21:30:00,30.04.2022 03:00:00,2022-04-29 23:15:00
7,BP 110/02 (717221),ZSK 70.8,22010316,6:00,72.39,5.18,23.06,53.06,02.05.2022 08:00:00,03.05.2022 22:45:00,2022-05-03 06:00:00
8,BP 110/02 (717221),ZSK 70.4,22010374,6:00,75.83,3.8,22.64,49.31,29.04.2022 21:30:00,30.04.2022 03:00:00,2022-04-30 06:00:00
9,BP 110/02 (717221),ZSK 70.5,22010374,6:00,76.33,3.58,21.57,47.02,02.05.2022 08:00:00,03.05.2022 22:45:00,2022-05-03 06:00:00
10,BP 110/02 (717221),ZSK 70.9,22010374,6:00,75.91,3.7,21.98,48.04,02.05.2022 22:45:00,03.05.2022 16:20:00,2022-05-03 06:00:00
11,BP 110/02 (717221),ZSK 70.8,22010349,6:00,72.64,5.01,22.83,52.36,02.05.2022 22:30:00,03.05.2022 08:15:00,2022-05-03 06:00:00
12,BP 110/02 (717221),ZSK 70.4,22010376,6:00,75.91,3.74,22.49,48.95,02.05.2022 22:30:00,03.05.2022 08:15:00,2022-05-03 06:00:00
13,BP 110/02 (717221),ZSK 70.5,22010376,6:00,75.42,4.0,22.68,49.76,02.05.2022 22:30:00,03.05.2022 08:15:00,2022-05-03 06:00:00
14,BP 110/02 (717221),ZSK 70.9,22010376,6:00,76.25,3.33,21.37,46.47,03.05.2022 16:20:00,04.05.2022 13:00:00,2022-05-04 06:00:00
15,BP 110/02 (717221),ZSK 70.4,22010376,6:00,75.83,3.87,22.64,49.38,16.11.2022 00:00:00,16.11.2022 00:00:00,2022-11-16 06:00:00
16,BP 110/02 (717221),ZSK 70.5,22010378,6:00,76.03,3.86,21.72,47.68,04.05.2022 02:00:00,04.05.2022 14:35:00,2022-05-04 06:00:00
17,BP 110/02 (717221),ZSK 70.4,22010377,18:00,75.61,3.99,23.27,50.67,04.05.2022 02:00:00,04.05.2022 14:35:00,2022-05-04 18:00:00
18,BP 110/02 (717221),ZSK 70.5,22010377,18:00,75.92,3.83,23.07,50.02,04.05.2022 02:00:00,04.05.2022 14:35:00,2022-05-04 18:00:00
19,BP 110/02 (717221),ZSK 70.9,22010377,18:00,76.31,3.5,21.99,47.69,04.05.2022 02:00:00,04.05.2022 14:35:00,2022-05-04 18:00:00
20,BP 110/02 (717221),ZSK 70.8,22010350,18:00,73.4,4.82,22.99,52.07,05.05.2022 02:30:00,05.05.2022 17:15:00,2022-05-05 18:00:00
21,BP 110/02 (717221),ZSK 70.8,22010350,6:00,71.77,5.5,22.88,53.38,04.05.2022 14:35:00,05.05.2022 02:30:00,2022-05-05 06:00:00
22,BP 110/02 (717221),ZSK 70.4,22010387,6:00,74.05,4.88,24.2,53.88,04.05.2022 14:35:00,05.05.2022 02:30:00,2022-05-05 06:00:00
23,BP 110/02 (717221),ZSK 70.5,22010387,6:00,76.28,3.9,22.49,48.93,04.05.2022 14:35:00,05.05.2022 02:30:00,2022-05-05 06:00:00
24,BP 110/02 (717221),ZSK 70.4,22010386,18:00,75.95,4.12,22.66,49.59,04.05.2022 13:00:00,05.05.2022 07:30:00,2022-05-04 18:00:00
25,BP 110/02 (717221),ZSK 70.5,22010386,18:00,76.62,3.65,22.42,48.43,16.11.2022 01:00:00,16.11.2022 02:30:00,2022-11-16 18:00:00
26,BP 110/02 (717221),ZSK 70.9,22010386,18:00,77.16,3.51,22.23,47.73,04.05.2022 13:00:00,05.05.2022 07:30:00,2022-05-04 18:00:00
27,BP 110/02 (717221),ZSK 70.8,22010354,18:00,71.96,5.39,24.01,55.15,16.11.2022 01:00:00,16.11.2022 02:30:00,2022-11-16 18:00:00
28,BP 110/02 (717221),ZSK 70.8,22010354,6:00,72.7,5.31,23.64,54.03,11.05.2022 03:30:00,11.05.2022 17:00:00,2022-05-11 06:00:00
29,BP 110/02 (717221),ZSK 70.4,22010388,6:00,75.24,3.99,22.46,49.47,11.05.2022 03:30:00,11.05.2022 17:00:00,2022-05-11 06:00:00
30,BP 110/02 (717221),ZSK 70.9,22010388,6:00,77.61,2.73,20.63,44.04,10.05.2022 06:45:00,11.05.2022 17:15:00,2022-05-11 06:00:00
31,BP 110/02 (717221),ZSK 70.8,22010355,18:00,72.02,5.43,23.98,55.1,10.05.2022 17:15:00,11.05.2022 03:30:00,2022-05-10 18:00:00
32,BP 110/02 (717221),ZSK 70.8,22010355,18:00,71.39,5.72,24.27,56.23,10.05.2022 17:15:00,11.05.2022 03:30:00,2022-05-10 18:00:00
33,BP 110/02 (717221),ZSK 70.8,22010355,2:09,71.95,5.43,23.61,54.5,10.05.2022 01:30:00,11.05.2022 06:25:00,2022-05-10 02:09:00
34,BP 110/02 (717221),ZSK 70.8,22010356,6:00,71.35,5.61,23.63,55.04,10.05.2022 01:30:00,11.05.2022 06:25:00,2022-05-10 06:00:00
35,BP 110/02 (717221),ZSK 70.4,22010390,6:00,74.96,4.49,23.86,52.46,12.05.2022 03:40:00,12.05.2022 14:30:00,2022-05-12 06:00:00
36,BP 110/02 (717221),ZSK 70.5,22010390,6:00,75.15,4.11,23.98,52.21,12.05.2022 03:40:00,12.05.2022 14:30:00,2022-05-12 06:00:00
37,BP 110/02 (717221),ZSK 70.5,22010390,6:00,77.71,2.99,21.18,45.2,11.05.2022 06:25:00,12.05.2022 00:30:00,2022-05-12 06:00:00
38,BP 110/02 (717221),ZSK 70.8,22010357,6:00,72.81,4.88,22.88,52.24,11.05.2022 06:25:00,12.05.2022 00:30:00,2022-05-12 06:00:00
39,BP 110/02 (717221),ZSK 70.8,22010357,6:00,72.82,5.02,22.98,52.54,11.05.2022 06:25:00,12.05.2022 00:30:00,2022-05-12 06:00:00
40,BP 110/02 (717221),ZSK 70.8,22010356,18:00,72.38,5.19,23.32,53.52,12.05.2022 00:30:00,12.05.2022 22:00:00,2022-05-12 18:00:00
41,BP 110/02 (717221),ZSK 70.8,22010356,18:00,71.66,5.54,24.11,55.64,13.05.2022 00:45:00,13.05.2022 11:05:00,2022-05-13 18:00:00
42,BP 110/02 (717221),ZSK 70.9,22010389,18:00,78.33,2.84,20.57,43.74,13.05.2022 00:45:00,13.05.2022 11:05:00,2022-05-13 18:00:00
43,BP 110/02 (717221),ZSK 70.5,22010389,18:00,76.14,3.68,22.76,49.25,13.05.2022 00:45:00,13.05.2022 11:05:00,2022-05-13 18:00:00
44,BP 110/02 (717221),ZSK 70.4,22010394,10:00,74.6,4.49,24.08,53.02,12.05.2022 22:00:00,13.05.2022 15:10:00,2022-05-13 10:00:00
45,BP 110/02 (717221),ZSK 70.8,22010358,10:00,72.02,5.44,23.83,54.86,12.05.2022 22:00:00,13.05.2022 15:10:00,2022-05-13 10:00:00
46,BP 110/02 (717221),ZSK 70.5,22010394,10:00,76.05,3.58,22.23,48.28,12.05.2022 00:30:00,12.05.2022 22:00:00,2022-05-12 10:00:00
47,BP 110/02 (717221),ZSK 70.9,22010394,10:00,77.91,2.99,21.0,44.81,12.05.2022 00:30:00,12.05.2022 22:00:00,2022-05-12 10:00:00
48,BP 110/02 (717221),ZSK 70.4,22010395,6:00,74.73,4.38,23.54,51.93,12.05.2022 14:30:00,13.05.2022 00:45:00,2022-05-13 06:00:00
49,BP 110/02 (717221),ZSK 70.5,22010395,6:00,76.21,3.76,22.6,49.03,12.05.2022 14:30:00,13.05.2022 00:45:00,2022-05-13 06:00:00
50,BP 110/02 (717221),ZSK 70.9,22010395,6:00,77.45,3.02,21.7,46.24,16.05.2022 08:00:00,16.05.2022 19:15:00,2022-05-16 06:00:00
51,BP 110/02 (717221),ZSK 70.8,22010359,18:00,72.62,5.2,24.03,54.64,16.05.2022 08:00:00,16.05.2022 19:15:00,2022-05-16 18:00:00
52,BP 110/02 (717221),ZSK 70.8,22010359,6:00,71.83,5.52,23.84,55.05,16.05.2022 10:00:00,16.05.2022 19:15:00,2022-05-16 06:00:00
53,BP 110/02 (717221),ZSK 70.8,22010361,8:00,72.38,5.09,23.59,53.91,16.05.2022 19:15:00,17.05.2022 08:50:00,2022-05-17 08:00:00
54,BP 110/02 (717221),ZSK 70.8,22010362,6:00,73.92,4.36,22.93,51.25,16.05.2022 19:15:00,17.05.2022 08:50:00,2022-05-17 06:00:00
55,BP 110/02 (717221),ZSK 70.8,22010362,6:00,74.1,4.49,23.21,51.77,16.05.2022 19:15:00,17.05.2022 08:50:00,2022-05-17 06:00:00
