,Produktname,Line,Charge,Uhrzeit,L,a,b,YI,Beginn,Ende,current_time,Temperatures_Reg02_Sps_Istwert,Temperatures_Reg03_Sps_Istwert,Temperatures_Reg04_Sps_Istwert,Temperatures_Reg05_Sps_Istwert,Temperatures_Reg06_Sps_Istwert,Temperatures_Reg07_Sps_Istwert,Temperatures_Reg08_Sps_Istwert,Temperatures_Reg09_Sps_Istwert,Temperatures_Reg10_Sps_Istwert,Temperatures_Reg11_Sps_Istwert,Temperatures_Reg12_Sps_Istwert,Temperatures_Reg13_Sps_Istwert,Temperatures_Reg14_Sps_Istwert,Temperatures_Reg15_Sps_Istwert,Temperatures_Reg02_Pc_Sollwert,Temperatures_Reg03_Pc_Sollwert,Temperatures_Reg04_Pc_Sollwert,Temperatures_Reg05_Pc_Sollwert,Temperatures_Reg06_Pc_Sollwert,Temperatures_Reg07_Pc_Sollwert,Temperatures_Reg08_Pc_Sollwert,Temperatures_Reg09_Pc_Sollwert,Temperatures_Reg10_Pc_Sollwert,Temperatures_Reg11_Pc_Sollwert,Temperatures_Reg12_Pc_Sollwert,Temperatures_Reg13_Pc_Sollwert,Temperatures_Reg14_Pc_Sollwert,Temperatures_Reg15_Pc_Sollwert,Feeder_DosSum_Sps_Durchsatz_Istwert,Feeder_DosSum_Pc_Durchsatz_Sollwert,Feeder_Dos01_Sps_Durchsatz_Istwert,Feeder_Dos02_Sps_Durchsatz_Istwert,Feeder_Dos03_Sps_Durchsatz_Istwert,Feeder_Dos04_Sps_Durchsatz_Istwert,Feeder_Dos05_Sps_Durchsatz_Istwert,Feeder_Dos06_Sps_Durchsatz_Istwert,Feeder_Dos07_Sps_Durchsatz_Istwert,Feeder_Dos08_Sps_Durchsatz_Istwert,Feeder_Dos01_Pc_Durchsatz_Sollwert,Feeder_Dos02_Pc_Durchsatz_Sollwert,Feeder_Dos03_Pc_Durchsatz_Sollwert,Feeder_Dos04_Pc_Durchsatz_Sollwert,Feeder_Dos05_Pc_Durchsatz_Sollwert,Feeder_Dos06_Pc_Durchsatz_Sollwert,Feeder_Dos07_Pc_Durchsatz_Sollwert,Feeder_Dos08_Pc_Durchsatz_Sollwert,Misc_Hat_Sps_Drehzahl_Istwert,Misc_Hat_Pc_Drehzahl_Sollwert,Misc_Hat_Sps_Drehmoment_Istwert,Temperatures_AE_Materialtemperatur01,Temperatures_AE_Materialtemperatur02,Misc_Mtd01_Sps_Istwert,Feeder_Dos01_Sps_MotorStellwert,Feeder_Dos02_Sps_MotorStellwert,Feeder_Dos03_Sps_MotorStellwert,Feeder_Dos04_Sps_MotorStellwert,Feeder_Dos05_Sps_MotorStellwert,Feeder_Dos06_Sps_MotorStellwert,Feeder_Dos07_Sps_MotorStellwert,Feeder_Dos08_Sps_MotorStellwert,Feeder_Dos01_Sps_Dosierfaktor,Feeder_Dos02_Sps_Dosierfaktor,Feeder_Dos03_Sps_Dosierfaktor,Feeder_Dos04_Sps_Dosierfaktor,Feeder_Dos05_Sps_Dosierfaktor,Feeder_Dos06_Sps_Dosierfaktor,Feeder_Dos07_Sps_Dosierfaktor,Feeder_Dos08_Sps_Dosierfaktor,Feeder_Dos01_Sps_MotorDrehzahl,Feeder_Dos02_Sps_MotorDrehzahl,Feeder_Dos03_Sps_MotorDrehzahl,Feeder_Dos04_Sps_MotorDrehzahl,Feeder_Dos05_Sps_MotorDrehzahl,Feeder_Dos06_Sps_MotorDrehzahl,Feeder_Dos07_Sps_MotorDrehzahl,Feeder_Dos08_Sps_MotorDrehzahl,Feeder_Dos01_Sps_Nettogewicht,Feeder_Dos02_Sps_Nettogewicht,Feeder_Dos03_Sps_Nettogewicht,Feeder_Dos04_Sps_Nettogewicht,Feeder_Dos05_Sps_Nettogewicht,Feeder_Dos06_Sps_Nettogewicht,Feeder_Dos07_Sps_Nettogewicht,Feeder_Dos08_Sps_Nettogewicht
0,BP 110/02 (717221),ZSK 70.8,22010314,18:00,73.47,4.64,23.09,52.03,29.04.2022 03:15:00,29.04.2022 21:30:00,4/29/2022 18:00,180.8485913,169.5781685,155.0598588,125.41831,136.1288749,125.6359154,125.7640847,174.6232388,91.10422537,17.41760548,17.55985938,0,0,0,180,170,155,125,125,125,125,140,90,16,19,0,0,0,1309.098048,1309,781.2975653,0,500.6029854,12.9989784,8.999704992,0,5.198629937,0,781.2999268,0,500.5,13,9,0,5.199999809,0,579.9241617,580,88.29031071,181.9464781,16.77816866,0.277482314,76.94857326,0,63.81396885,15.90642116,17.40939882,0,37.40590402,0,1015.434514,574.2153931,784.8872457,81.77710208,51.73311924,8.568288803,13.92828726,0,2307.943662,0,1914,476.6478873,521.6971831,0,1121.676056,0,54.977728,-1.779000044,63.83670726,19.07844456,31.01283948,-0.017978874,4.10656357,0
1,BP 110/02 (717221),ZSK 70.8,22010315,11:00,72.5,5.18,23.46,53.71,29.04.2022 21:30:00,30.04.2022 03:00:00,4/30/2022 11:00,40.31478868,47.86619726,52.09014084,52.82816895,50.07253518,44.62816894,39.48450712,37.12253506,36.14366188,13.0676057,14.82887318,0,0,0,180,170,155,125,125,125,125,140,90,16,19,0,0,0,0,309,0,0,0,0,0,0,0,0,184.4321442,0,118.1470642,3.068754673,2.124522448,0,1.227501869,0,0,180,0,51.82746479,13.81901413,0.458887576,0,0,0,0,0,0,0,0,1011.381042,574.2153931,790.4271851,80.6807785,55.49871826,8.568288803,13.86114693,0,0,0,0,0,0,0,0,0,49.26783264,-1.779000044,76.63546726,-0.277845087,29.04634661,-0.060683102,-0.02330986,0
2,BP 110/02 (717221),ZSK 70.5,22010373,11:00,76.41,3.76,21.79,47.55,02.05.2022 08:00:00,03.05.2022 22:45:00,5/2/2022 11:00,185.0369565,185.0576087,169.9945652,144.9978261,145.0184783,145.0282609,185.2391304,161.9869565,100.0032609,168.7521739,151.6076087,0,0,0,185,185,170,145,145,145,165,155,100,150,142,0,0,0,799.9427298,800,480.7940999,0,307.9638373,7.999634629,0,3.199989708,0,0,480.7999878,0,308.0000305,8,0,3.200000286,0,0,358.95,360,77.55869565,199.823913,167.925,3.219565217,68.26543111,0,52.27478069,9.519130126,0,9.466955931,0,0,705.0341001,406.6065063,589.3348137,83.96089322,34.46990967,33.76866191,94.3487854,65.54180908,2046.880435,0,1568.065217,588.6847826,0,283.6195652,0,0,47.05525514,39.22929357,53.09682,15.18348574,48.76434475,7.670034429,0,0
3,BP 110/02 (717221),ZSK 70.4,22010373,12:15,75.71,4.09,22.69,49.73,02.05.2022 07:15:00,03.05.2022 22:30:00,5/2/2022 12:15,184.8139535,184.7186047,170.005814,144.9755814,144.9186047,144.9488372,165,155,100.0023256,170.2430233,152.0593023,0,0,0,185,185,170,145,145,145,165,155,100,150,140,0,0,0,699.9939306,699.999939,420.6935325,0,269.5307014,6.998721988,0,2.78796746,0,0,420.6999512,0,269.4999695,7,0,2.799999952,0,0,338.922093,340,70.23255814,28.79883721,215.2,4.908139535,45.11371879,0,42.00209116,7.237674114,0,4.1816277,0,0,932.8032596,646.7991943,642.9640404,96.9320331,36.24555969,64.3676002,250,96.19335938,1352.488372,0,1259.27907,218.0697674,0,125.4883721,0,0,47.10151176,48.33153259,48.26208053,7.968922415,18.98291242,10.59212161,0,0
4,BP 110/02 (717221),ZSK 70.4,22010373,12:15,76.01,3.92,22.75,49.54,02.05.2022 10:40:00,03.05.2022 22:30:00,5/2/2022 12:15,184.8139535,184.7186047,170.005814,144.9755814,144.9186047,144.9488372,165,155,100.0023256,170.2430233,152.0593023,0,0,0,185,185,170,145,145,145,165,155,100,150,140,0,0,0,699.9939306,699.999939,420.6935325,0,269.5307014,6.998721988,0,2.78796746,0,0,420.6999512,0,269.4999695,7,0,2.799999952,0,0,338.922093,340,70.23255814,28.79883721,215.2,4.908139535,45.11371879,0,42.00209116,7.237674114,0,4.1816277,0,0,932.8032596,646.7991943,642.9640404,96.9320331,36.24555969,64.3676002,250,96.19335938,1352.488372,0,1259.27907,218.0697674,0,125.4883721,0,0,47.10151176,48.33153259,48.26208053,7.968922415,18.98291242,10.59212161,0,0
5,BP 110/02 (717221),ZSK 70.8,22010315,18:00,73.15,4.97,23.9,53.92,02.05.2022 10:40:00,03.05.2022 22:30:00,5/2/2022 18:00,181.6510639,169.722695,155.3361702,125.4929082,136.9921989,125.8737591,125.8361703,179.5198579,91.20709223,20.29858139,20.08652515,0,0,0,180,170,155,125,125,125,125,140,90,16,19,0,0,0,1308.997336,1309,781.3098577,0,500.4936679,13.00109476,9.000367767,0,5.20004359,0,781.2999268,0,500.5,13,9,0,5.199999809,0,579.9222906,580,88.03929106,182.3120571,19.85177248,0.443365017,77.19898576,0,63.4572623,14.72600085,15.2568104,0,37.06792212,0,1012.134091,574.2153931,790.6077045,88.28443433,59.00995487,8.568288803,14.03342292,0,2315.446809,0,1903.113475,441.3333333,457.2340426,0,1111.503546,0,55.3485346,-1.779000044,63.45668392,18.59792997,32.78848368,-0.026765958,9.520433067,0
6,BP 110/02 (717221),ZSK 70.8,22010315,23:15,73.18,4.92,23.26,52.75,29.04.2022 21:30:00,30.04.2022 03:00:00,4/29/2022 23:15,180.1323944,169.6429576,155.0246483,125.3697184,136.1978878,125.5633804,125.73662,175.0894371,91.03098555,19.74084481,21.47816893,0,0,0,180,170,155,125,125,125,125,140,90,16,19,0,0,0,1309.053044,1309,781.3170299,0,500.531711,12.99938887,9.000856937,0,5.200860537,0,781.2999268,0,500.5,13,9,0,5.199999809,0,579.9337038,580,87.98609774,182.2267611,19.98521121,0.284767051,76.98033669,0,62.96502076,16.08682134,16.97476177,0,37.53092621,0,1015.030647,574.2153931,794.9773762,80.82805209,53.05315689,8.568288803,13.86863548,0,2308.915493,0,1888.380282,482.1197183,508.6478873,0,1125.457746,0,54.06252364,-1.779000044,64.07039744,12.72733856,30.10977617,-0.00215493,8.015162354,0
7,BP 110/02 (717221),ZSK 70.8,22010316,6:00,72.39,5.18,23.06,53.06,02.05.2022 08:00:00,03.05.2022 22:45:00,5/3/2022 6:00,180.5617016,169.7893614,155.5638301,125.4978723,137.0560302,125.8709221,125.8134755,175.4028366,91.24184396,13.9439715,14.45319154,0,0,0,180,170,155,125,125,125,125,140,90,16,19,0,0,0,1309.041006,1309,781.3051775,0,500.5417193,13.00039785,8.999695873,0,5.198949601,0,781.2999268,0,500.5,13,9,0,5.199999809,0,579.9272253,580,88.4780689,182.6092199,15.2858156,0.330292062,79.23773431,0,62.65233477,14.84079678,16.47608305,0,37.95264137,0,986.1229179,574.2153931,799.360113,87.56749725,54.64962046,8.568288803,13.74222715,0,2376.624113,0,1879.014184,444.7234043,493.7588652,0,1138.049645,0,54.52424375,-1.779000044,63.9079816,20.99206485,33.6471434,-0.048751775,10.8353622,0
8,BP 110/02 (717221),ZSK 70.4,22010374,6:00,75.83,3.8,22.64,49.31,29.04.2022 21:30:00,30.04.2022 03:00:00,4/30/2022 6:00,112.3230769,121.3615385,114.5164835,100.5956044,95.81758242,97.38901099,102.3230769,92.99230769,87.93076923,89.85384615,88.79340659,0,0,0,180,180,170,140,140,140,180,160,100,150,140,0,0,0,0,307,0,0,0,0,0,0,0,0,151.9801941,35.56336594,113.3772354,1.519801974,3.039603949,1.519801974,0,0,-149.8032967,160,777.7,24.93406593,90.19010989,4.5,0,0,0,0,0,0,0,0,957.527832,646.7991943,567.5496826,100.1774597,36.24555969,54.05915833,250,96.19335938,0,0,0,0,0,0,0,0,49.52005868,48.30439247,1.037466447,-0.12237138,19.17231323,0.044361303,0,0
9,BP 110/02 (717221),ZSK 70.5,22010374,6:00,76.33,3.58,21.57,47.02,02.05.2022 08:00:00,03.05.2022 22:45:00,5/3/2022 6:00,184.9406593,184.8912088,169.9087912,145.021978,144.9582418,145.0241758,185.3967033,161.3307692,99.96703297,170.9362637,152.9604396,0,0,0,185,185,170,145,145,145,165,155,100,150,144,0,0,0,800.0431109,800,480.7901061,0,308.0443632,8.000406422,0,3.19967371,0,0,480.7999878,0,308.0000305,8,0,3.200000286,0,0,358.7351648,360,75.60659341,199.4769231,170.5659341,3.610989011,69.48812933,0,52.27054755,9.463516005,0,9.54791178,0,0,691.5095456,406.6065063,588.6655649,84.38501798,34.46990967,33.45946788,94.3487854,65.54180908,2083.505495,0,1567.516484,585.8351648,0,285.7912088,0,0,47.0667878,39.68421852,52.96805799,18.41423542,48.47636984,9.544555014,0,0
