,Produktname,Line,Charge,Uhrzeit,L,a,b,YI,Beginn,Ende,current_time,Temperatures_Reg02_Sps_Istwert,Temperatures_Reg03_Sps_Istwert,Temperatures_Reg04_Sps_Istwert,Temperatures_Reg05_Sps_Istwert,Temperatures_Reg06_Sps_Istwert,Temperatures_Reg07_Sps_Istwert,Temperatures_Reg08_Sps_Istwert,Temperatures_Reg09_Sps_Istwert,Temperatures_Reg10_Sps_Istwert,Temperatures_Reg11_Sps_Istwert,Temperatures_Reg12_Sps_Istwert,Temperatures_Reg02_Pc_Sollwert,Temperatures_Reg03_Pc_Sollwert,Temperatures_Reg04_Pc_Sollwert,Temperatures_Reg05_Pc_Sollwert,Temperatures_Reg06_Pc_Sollwert,Temperatures_Reg07_Pc_Sollwert,Temperatures_Reg08_Pc_Sollwert,Temperatures_Reg09_Pc_Sollwert,Temperatures_Reg10_Pc_Sollwert,Temperatures_Reg11_Pc_Sollwert,Temperatures_Reg12_Pc_Sollwert,Feeder_DosSum_Sps_Durchsatz_Istwert,Feeder_DosSum_Pc_Durchsatz_Sollwert,Feeder_Dos01_Sps_Durchsatz_Istwert,Feeder_Dos02_Sps_Durchsatz_Istwert,Feeder_Dos03_Sps_Durchsatz_Istwert,Feeder_Dos04_Sps_Durchsatz_Istwert,Feeder_Dos05_Sps_Durchsatz_Istwert,Feeder_Dos06_Sps_Durchsatz_Istwert,Feeder_Dos07_Sps_Durchsatz_Istwert,Feeder_Dos08_Sps_Durchsatz_Istwert,Feeder_Dos01_Pc_Durchsatz_Sollwert,Feeder_Dos02_Pc_Durchsatz_Sollwert,Feeder_Dos03_Pc_Durchsatz_Sollwert,Feeder_Dos04_Pc_Durchsatz_Sollwert,Feeder_Dos05_Pc_Durchsatz_Sollwert,Feeder_Dos06_Pc_Durchsatz_Sollwert,Feeder_Dos07_Pc_Durchsatz_Sollwert,Feeder_Dos08_Pc_Durchsatz_Sollwert,Misc_Hat_Sps_Drehzahl_Istwert,Misc_Hat_Pc_Drehzahl_Sollwert,Misc_Hat_Sps_Drehmoment_Istwert,Temperatures_AE_Materialtemperatur01,Temperatures_AE_Materialtemperatur02,Misc_Mtd01_Sps_Istwert,Feeder_Dos01_Sps_MotorStellwert,Feeder_Dos02_Sps_MotorStellwert,Feeder_Dos03_Sps_MotorStellwert,Feeder_Dos04_Sps_MotorStellwert,Feeder_Dos05_Sps_MotorStellwert,Feeder_Dos06_Sps_MotorStellwert,Feeder_Dos07_Sps_MotorStellwert,Feeder_Dos08_Sps_MotorStellwert,Feeder_Dos01_Sps_Dosierfaktor,Feeder_Dos02_Sps_Dosierfaktor,Feeder_Dos03_Sps_Dosierfaktor,Feeder_Dos04_Sps_Dosierfaktor,Feeder_Dos05_Sps_Dosierfaktor,Feeder_Dos06_Sps_Dosierfaktor,Feeder_Dos07_Sps_Dosierfaktor,Feeder_Dos08_Sps_Dosierfaktor,Feeder_Dos01_Sps_MotorDrehzahl,Feeder_Dos02_Sps_MotorDrehzahl,Feeder_Dos03_Sps_MotorDrehzahl,Feeder_Dos04_Sps_MotorDrehzahl,Feeder_Dos05_Sps_MotorDrehzahl,Feeder_Dos06_Sps_MotorDrehzahl,Feeder_Dos07_Sps_MotorDrehzahl,Feeder_Dos08_Sps_MotorDrehzahl,Feeder_Dos01_Sps_Nettogewicht,Feeder_Dos02_Sps_Nettogewicht,Feeder_Dos03_Sps_Nettogewicht,Feeder_Dos04_Sps_Nettogewicht,Feeder_Dos05_Sps_Nettogewicht,Feeder_Dos06_Sps_Nettogewicht,Feeder_Dos07_Sps_Nettogewicht,Feeder_Dos08_Sps_Nettogewicht
0,BP 110/02 (717221),ZSK 70.4,22010661,8:30,72.93,5.15,24.9,55.91,05.09.2022 08:00:00,06.09.2022 01:45:00,2022-09-05 08:30:00,184.4925925925926,184.9172839506173,169.96666666666667,144.95925925925926,145.65555555555557,145.01604938271606,165.02592592592595,154.99382716049382,100.04074074074074,164.52222222222224,148.03209876543207,185.0,185.0,170.0,145.0,145.0,145.0,165.0,155.0,100.0,150.0,140.0,699.9199294102045,700.0000610351561,420.63525993441357,0.0,270.8843436535495,5.598302252498675,0.0,2.7984011261551474,0.0,0.0,420.699981689453,0.0,270.900024414063,5.600000381469729,0.0,2.80000019073486,0.0,0.0,339.4753086419753,340.0,66.49135802469135,29.37901234567901,213.09876543209876,5.197530864197532,55.3496275536808,0.0,42.91802319185234,5.989876335049854,0.0,22.16518406809112,0.0,0.0,764.4258581090859,586.84375,635.1724341121723,92.25953674316406,34.374603271484396,12.63465902540419,250.0,96.193359375,1659.0740740740741,0.0,1286.7530864197531,179.46913580246914,0.0,663.8395061728395,0.0,0.0,47.13410836678964,47.81440518226153,51.39483473036025,18.663890885718068,16.67380038602852,8.461742565955644,0.0,0.0
1,BP 110/02 (717221),ZSK 70.5,22010661,12:30,70.86,5.79,24.99,57.85,05.09.2022 11:45:00,06.09.2022 01:45:00,2022-09-05 12:30:00,184.82087912087914,185.18021978021974,170.02637362637364,144.96813186813185,144.9813186813187,145.04175824175826,187.4142857142857,165.8956043956044,100.02637362637364,174.84395604395607,160.52197802197801,185.0,185.0,170.0,145.0,145.0,145.0,165.0,157.0,100.0,150.0,160.0,699.9889673924708,700.0000610351561,420.70079828618657,0.0,270.8861955915178,5.5993459827297345,0.0,2.8002331911862552,0.0,0.0,420.7000122070312,0.0,270.899993896484,5.600000381469729,0.0,2.80000019073486,0.0,0.0,337.967032967033,340.0,70.24285714285715,199.9505494505495,175.37142857142857,3.803296703296704,57.447909260844135,0.0,48.21780060149811,7.5149448206136515,0.0,10.1740654536656,0.0,0.0,732.7632868840144,430.10205078125,567.8544331644919,74.61245777842763,28.028263092041012,27.359899080716648,94.34878540039061,65.54180908203129,1722.7252747252746,0.0,1445.7912087912089,462.86813186813185,0.0,304.4175824175824,0.0,0.01098901098901099,47.00325104430482,1.6036789862664185,50.64508090176425,15.767149369795243,43.84260852520283,6.897053246969705,0.0,0.0
2,BP 110/02 (717221),ZSK 70.4,22010661,18:00,75.1,4.66,22.53,50.29,05.09.2022 08:00:00,06.09.2022 01:45:00,2022-09-05 18:00:00,184.96172839506173,184.97037037037038,169.99753086419753,144.98765432098767,145.98765432098764,145.00123456790126,165.07654320987655,155.2407407407407,100.01234567901234,169.56790123456787,153.86049382716047,185.0,185.0,170.0,145.0,145.0,145.0,165.0,155.0,100.0,150.0,140.0,799.9978253399885,800.0000610351561,480.8095838758682,0.0,309.6039903428818,6.400911660841953,0.0,3.198315579214213,0.0,0.0,480.79998779296886,0.0,309.600006103516,6.40000057220459,0.0,3.200000286102291,0.0,0.0,358.1938271604938,360.0,76.2925925925926,40.67654320987655,217.8395061728395,5.0,67.55456316912615,0.0,50.55901054099754,6.868888595957817,0.0,26.91456707612969,0.0,0.0,711.531682520737,586.84375,610.0482539424191,93.325170069565,34.374603271484396,11.945291401427463,250.0,96.193359375,2025.5061728395062,0.0,1515.9012345679012,206.12345679012347,0.0,806.8641975308642,0.0,0.0,47.593432673701535,47.76565872004004,50.66210504225743,21.738831131546586,16.79025018951039,9.269143705014828,0.0,0.0
3,BP 110/02 (717221),ZSK 70.5,22010661,18:00,72.84,5.53,24.64,55.9,05.09.2022 11:45:00,06.09.2022 01:45:00,2022-09-05 18:00:00,184.9391304347826,185.03804347826082,170.02934782608696,144.98804347826086,145.0195652173913,145.0086956521739,189.45000000000002,163.88260869565215,100.04347826086959,177.00434782608698,159.9967391304348,185.0,185.0,170.0,145.0,145.0,145.0,165.0,157.0,100.0,150.0,160.0,799.9505210544752,800.0000610351561,480.80748781950575,0.0,309.54678941809595,6.399118340533713,0.0,3.200004266655963,0.0,0.0,480.7999877929688,0.0,309.600006103516,6.400000095367431,0.0,3.2000000476837203,0.0,0.0,358.65652173913037,360.0,76.48478260869565,202.02500000000003,176.82065217391303,3.8326086956521728,66.25064683997113,0.0,55.40999752542247,8.439782163371211,0.0,12.120651680490244,0.0,0.0,725.4322496497115,430.10205078125,557.5904686969261,75.67734859300697,28.028263092041012,26.548399095949918,94.34878540039061,65.54180908203129,1986.7065217391305,0.0,1661.4673913043478,519.7608695652174,0.0,363.30434782608694,0.0,0.0,47.12030974678371,2.0694663835608447,50.96204193778661,22.265809681104578,43.86633126632026,9.01415032925813,0.0,0.0
4,BP 110/02 (717221),ZSK 70.4,22010662,6:00,72.73,5.42,25.52,57.34,06.09.2022 01:45:00,06.09.2022 16:35:00,2022-09-06 06:00:00,185.0567901234568,185.020987654321,170.0432098765432,145.02098765432098,145.04074074074074,144.98765432098764,165.03333333333333,155.02469135802468,99.99382716049382,166.7345679012346,150.66666666666669,185.0,185.0,170.0,145.0,145.0,145.0,165.0,155.0,100.0,150.0,140.0,800.0784716194058,800.0000610351561,480.852655104649,0.0,309.5962682653355,6.398652900884181,0.0,3.200556625554591,0.0,0.0,480.79998779296886,0.0,309.600006103516,6.40000057220459,0.0,3.200000286102291,0.0,0.0,359.62962962962956,360.0,72.06913580246913,31.91975308641976,215.179012345679,5.2,66.33481174045139,0.0,51.480739075460555,6.785431897198713,0.0,27.749628655704452,0.0,0.0,720.2441978925542,586.84375,601.8611020688659,93.71130634825907,34.374603271484396,11.45318761283969,250.0,96.193359375,1989.1851851851852,0.0,1543.5802469135801,204.02469135802468,0.0,831.7777777777778,0.0,0.0,47.38139230233652,47.84416933412906,49.66229907377267,20.998957316080727,16.34076431651174,9.245918674233518,0.0,0.0
5,BP 110/02 (717221),ZSK 70.5,22010662,6:00,73.88,4.73,24.06,53.59,06.09.2022 01:45:00,06.09.2022 16:35:00,2022-09-06 06:00:00,184.93186813186813,185.14725274725276,169.97802197802199,144.96593406593405,145.02747252747255,144.98901098901098,189.06153846153848,162.75604395604398,100.00879120879124,176.14505494505494,160.0164835164835,185.0,185.0,170.0,145.0,145.0,145.0,165.0,157.0,100.0,150.0,160.0,799.998031448532,800.0000610351561,480.80139026013063,0.0,309.59570178356785,6.399111370463948,0.0,3.1996186486967324,0.0,0.0,480.7999877929688,0.0,309.600006103516,6.400000095367431,0.0,3.2000000476837203,0.0,0.0,358.3703296703297,360.0,74.45494505494506,201.85604395604392,176.29230769230773,3.5956043956043966,65.53252268361523,0.0,54.24637251633864,8.452526826124926,0.0,11.669669937301471,0.0,0.0,733.4260723407453,430.10205078125,571.1202513307007,75.31663915613196,28.028263092041012,27.130930848174042,94.34878540039061,65.54180908203129,1964.9120879120878,0.0,1626.6593406593406,522.6813186813187,0.0,349.6703296703297,0.0,0.0,47.176117446396375,1.5699387015877195,50.866705422873025,19.62179330679086,43.59239926180998,8.942173087989891,0.0,0.0
6,BP 110/02 (717221),ZSK 70.4,22010663,6:00,76.01,3.68,23.11,49.92,06.09.2022 16:35:00,07.09.2022 07:15:00,2022-09-07 06:00:00,185.12345679012347,185.01234567901236,169.9814814814815,144.9814814814815,144.96172839506173,145.25185185185188,164.79135802469133,155.0185185185185,100.01975308641975,165.26419753086418,149.32345679012343,185.0,185.0,170.0,145.0,145.0,145.0,165.0,155.0,100.0,150.0,142.0,800.1556697892554,800.0000610351561,480.9564367223671,0.0,309.6019256968555,6.39837611163104,0.0,3.2016756505142023,0.0,0.0,480.79998779296886,0.0,309.600006103516,6.40000057220459,0.0,3.200000286102291,0.0,0.0,359.19259259259263,360.0,72.24938271604937,33.916049382716054,213.2246913580247,5.2,68.69061411162953,0.0,54.72172687671803,6.890123249572,0.0,30.70073977811837,0.0,0.0,695.6702624662423,586.84375,566.7262701340666,92.9511780915437,34.374603271484396,10.468242433336046,250.0,96.193359375,2060.2345679012346,0.0,1641.0987654320988,206.4814814814815,0.0,920.1358024691358,0.0,0.0,47.10381825764975,47.86389216670284,50.121429820119594,20.02160682207272,15.847794426812069,8.922030413592303,0.0,0.0
7,BP 110/02 (717221),ZSK 70.5,22010663,6:00,75.11,4.27,23.03,50.77,06.09.2022 16:35:00,07.09.2022 07:15:00,2022-09-07 06:00:00,185.00329670329666,184.77472527472528,170.04505494505494,145.12087912087912,145.0098901098901,144.9945054945055,188.90659340659346,163.22417582417583,100.0076923076923,175.69890109890113,160.0,185.0,185.0,170.0,145.0,145.0,145.0,165.0,157.0,100.0,150.0,160.0,800.00145478301,800.0000610351561,480.8043628734548,0.0,309.6112174568594,6.400145562140496,0.0,3.1990806873028097,0.0,0.0,480.7999877929688,0.0,309.600006103516,6.400000095367431,0.0,3.2000000476837203,0.0,0.0,358.2692307692308,360.0,74.04835164835164,200.3428571428571,175.87142857142857,3.6230769230769244,64.98966510479268,0.0,58.321976546402816,8.487911874121362,0.0,12.225933473188801,0.0,0.0,739.6236330807866,430.10205078125,531.4620119870366,75.52654459188273,28.028263092041012,26.316628256996903,94.34878540039061,65.54180908203129,1948.6813186813188,0.0,1748.9450549450548,526.065934065934,0.0,366.1978021978022,0.0,0.0,47.239972628079926,1.5679096180004082,50.858376806908915,19.072844536749873,43.22011499090509,8.532074687245128,0.0,0.0
8,BP 110/02 (717221),ZSK 70.4,22010665,6:00,75.7,3.81,23.27,50.46,07.09.2022 22:45:00,08.09.2022 13:25:00,2022-09-08 06:00:00,184.97,185.10500000000002,169.975,144.98625,145.00500000000002,145.00375,165.02000000000004,155.01000000000002,99.99125,166.26250000000002,150.22750000000002,185.0,185.0,170.0,145.0,145.0,145.0,165.0,155.0,100.0,150.0,145.0,800.1068435668947,800.0000610351561,480.8838104248049,0.0,309.64177017211904,6.399461281299591,0.0,3.200447028875351,0.0,0.0,480.79998779296886,0.0,309.600006103516,6.40000057220459,0.0,3.2000002861022905,0.0,0.0,359.28125,360.0,72.3075,30.890000000000004,213.50375000000003,5.103750000000001,71.0664945602417,0.0,54.22224817276001,6.78199976682663,0.0,31.72699899673462,0.0,0.0,674.81668548584,586.84375,571.9513015747071,92.85746669769287,34.374603271484396,10.07634365558624,250.0,96.193359375,2131.525,0.0,1625.8625,204.45,0.0,950.6375,0.0,0.0,47.61308813095093,47.85733461380005,52.94203758239746,19.90474119186401,15.424754762649545,9.605853509902952,0.0,0.0
9,BP 110/02 (717221),ZSK 70.5,22010665,6:00,74.76,4.42,23.23,51.43,07.09.2022 22:45:00,08.09.2022 13:25:00,2022-09-08 06:00:00,185.06593406593407,185.0439560439561,170.04945054945054,145.2032967032967,145.03736263736263,144.9857142857143,189.36703296703297,162.29450549450547,99.97802197802197,175.389010989011,159.55494505494505,185.0,185.0,170.0,145.0,145.0,145.0,165.0,157.0,100.0,150.0,150.1098901098901,800.0062423538376,800.0000610351561,480.83095542153166,0.0,309.5653679816276,6.400814318394923,0.0,3.199829054402781,0.0,0.0,480.7999877929688,0.0,309.600006103516,6.400000095367431,0.0,3.2000000476837203,0.0,0.0,358.2868131868131,360.0,73.52527472527474,200.41978021978022,175.5043956043956,3.8307692307692305,65.80351274092119,0.0,57.49010819655199,8.511428309010935,0.0,12.292966465373615,0.0,0.0,731.3806916959994,430.10205078125,537.6035424536402,75.13754222157237,28.028263092041012,26.057210146725833,94.34878540039061,65.54180908203129,1973.142857142857,0.0,1724.5054945054944,527.3296703296703,0.0,368.2197802197802,0.0,0.0,47.36154015509637,1.418130560235663,53.06460168859461,21.059421078189384,42.88334379091368,9.511250841748584,0.0,0.0
