,merkmal_id,wertnum,bemerkg,csnr
0,197,5.5474,70.8 06:00,22010140
1,198,1.193,70.8 06:00,22010140
2,100,0.37,70.8 06:00,22010140
3,203,0.388,70.8 06:00,22010140
4,197,5.2797,70.8 06:00,22010141
5,198,1.19,70.8 06:00,22010141
6,100,0.43,70.8 06:00,22010141
7,203,0.389,70.8 06:00,22010141
8,197,8.214,70.4 06:00,22010184
9,197,6.2897,70.5 06:00,22010184
10,197,6.3084,70.9 06:00,22010184
11,198,1.188,70.4 06:00,22010184
12,198,1.189,70.5 06:00,22010184
13,198,1.191,70.9 06:00,22010184
14,100,0.3,70.4 06:00,22010184
15,100,0.24,70.5 06:00,22010184
16,100,0.23,70.9 06:00,22010184
17,197,5.233,8 06.00,22010288
18,197,5.1277,8 18.00,22010288
19,198,1.189,8 06.00,22010288
20,198,1.189,8 18.00,22010288
21,100,0.41,8 06.00,22010288
22,100,0.38,8 18.00,22010288
23,203,0.446,8 18.00,22010288
24,197,5.6394,4 06.00,22010182
25,197,6.314,5 06.00,22010182
26,197,6.4321,9 06.00,22010182
27,198,1.189,4 06.00,22010182
28,198,1.189,5 06.00,22010182
29,198,1.191,9 06.00,22010182
30,100,0.32,4 06.00,22010182
31,100,0.21,5 06.00,22010182
32,100,0.26,9 06.00,22010182
33,197,6.0404,4 18.00,22010183
34,197,6.069,5 18.00,22010183
35,197,6.2986,9 18.00,22010183
36,198,1.188,4 18.00,22010183
37,198,1.189,5 18.00,22010183
38,198,1.189,9 18.00,22010183
39,100,0.28,4 18.00,22010183
40,100,0.22,5 18.00,22010183
41,100,0.22,9 18.00,22010183
42,197,6.069,9 18.00,22010185
43,198,1.19,9 18.00,22010185
44,100,0.21,9 18.00,22010185
45,197,6.2501,4 18.00,22010186
46,197,6.2606,5 18.00,22010186
47,198,1.189,4 18.00,22010186
48,198,1.189,5 18.00,22010186
49,100,0.2,4 18.00,22010186
50,100,0.18,5 18.00,22010186
51,197,5.0071,8 15.00,22010289
52,197,5.0441,8 18.00,22010289
53,198,1.19,8 15.00,22010289
54,198,1.19,8 18.00,22010289
55,100,0.31,8 15.00,22010289
56,100,0.31,8 18.00,22010289
57,203,0.247,8 15.00,22010289
58,203,0.26,8 18.00,22010289
59,197,5.0198,8 03.00,22010142
60,197,4.6209,8 06.00,22010142
61,197,4.9094,8 06.00,22010142
62,197,4.9808,8 24.00,22010142
63,197,4.7584,8 18.00,22010142
64,197,5.1077,8 18.00,22010142
65,197,5.0194,8 21.00,22010142
66,198,1.191,8 03.00,22010142
67,198,1.191,8 06.00,22010142
68,198,1.191,8 06.00,22010142
69,198,1.191,8 24.00,22010142
70,198,1.191,8 18.00,22010142
71,198,1.191,8 18.00,22010142
72,198,1.191,8 21.00,22010142
73,100,0.29,8 03.00,22010142
74,100,0.53,8 06.00,22010142
75,100,0.32,8 06.00,22010142
76,100,0.26,8 24.00,22010142
77,100,0.46,8 18.00,22010142
78,100,0.28,8 18.00,22010142
79,100,0.3,8 21.00,22010142
80,203,0.265,8 03.00,22010142
81,203,0.589,8 06.00,22010142
82,203,0.287,8 06.00,22010142
83,203,0.271,8 24.00,22010142
84,203,0.219,8 18.00,22010142
85,203,0.256,8 18.00,22010142
86,203,0.257,8 21.00,22010142
87,197,4.945,8 11.15,22010143
88,197,5.2297,8 06.00,22010143
89,198,1.186,8 11.15,22010143
90,198,1.19,8 11.38,22010143
91,198,1.187,8 06.00,22010143
92,100,0.41,8 11.15,22010143
93,100,0.23,8 11:38,22010143
94,100,0.41,8 06.00,22010143
95,203,0.52,8 11.15,22010143
96,203,0.395,8 06.00,22010143
97,197,5.1732,8 18.00,22010144
98,198,1.189,8 18.00,22010144
99,100,0.42,8 18.00,22010144
100,203,0.123,8 18.00,22010144
101,197,5.0313,8 06.00,22010145
102,197,4.4903,8 18.00,22010145
103,198,1.188,8 06.00,22010145
104,198,1.191,8 18.00,22010145
105,100,0.52,8 06.00,22010145
106,100,0.46,8 18.00,22010145
107,203,0.545,8 06.00,22010145
108,203,0.391,8 18.00,22010145
109,197,5.3352,8 06.00,22010195
110,197,5.2998,8 18.00,22010195
111,198,1.189,8 06.00,22010195
112,198,1.187,8 18.00,22010195
113,100,0.36,8 06.00,22010195
114,100,0.45,8 18.00,22010195
