,Produktname,Line,Charge,Uhrzeit,KW,Mitarbeiter,Bezug Nr.,dE*ab(D65),Bewertung,L,a,b,dL*(D65),da*(D65),db*(D65),YI,Helligkeit(D65),a* Bewertung(D65),b* Bewertung(D65),dE00(D65),Date
1,BP 110/02 (717221),ZSK 70.4,22010661,8:30,36,Trainee,11,2.42,FAIL,72.93,5.15,24.9,-1.51,0.57,1.81,55.91,"1,51 dunkler","0,57 röter","1,81 gelber",1.45,1 (05.09.2022 08:53:39)
2,BP 110/02 (717221),MP,22010660,16:43,35,Trainee,11,0.92,FAIL,74.45,4.67,24,0.02,0.09,0.91,53.13,"0,02 heller","0,09 röter","0,91 gelber",0.44,6 (05.09.2022 09:04:22)
3,BP 110/02 (717231),MP,22010637,6:38,36,Trainee,11,3.98,FAIL,71.39,6.27,25.01,-3.05,1.69,1.92,58.06,"3,05 dunkler","1,69 röter","1,92 gelber",2.79,8 (05.09.2022 09:11:06)
4,BP 110/02 (717221),ZSK 70.5,22010661,12:30,36,Trainee,11,4.23,FAIL,70.86,5.79,24.99,-3.58,1.21,1.91,57.85,"3,58 dunkler","1,21 röter","1,91 gelber",2.97,11 (05.09.2022 14:18:22)
5,BP 110/02 (717231),ZSK 70.8,22010638,15:00,36,Trainee,11,3.04,FAIL,72.33,5.74,24.95,-2.11,1.16,1.87,56.91,"2,11 dunkler","1,16 röter","1,87 gelber",1.99,13 (05.09.2022 15:27:18)
6,BP 110/02 (717221),ZSK 70.4,22010661,18:00,36,Trainee,11,0.87,Warnung,75.1,4.66,22.53,0.66,0.08,-0.55,50.29,"0,66 heller","0,08 röter","0,55 weniger gelb",0.58,14 (06.09.2022 07:22:01)
7,BP 110/02 (717221),ZSK 70.5,22010661,18:00,36,Trainee,11,2.42,FAIL,72.84,5.53,24.64,-1.6,0.95,1.55,55.9,"1,60 dunkler","0,95 röter","1,55 gelber",1.57,15 (06.09.2022 07:23:07)
8,BP 110/02 (717221),MP,22010661,2:35,36,Trainee,11,1.03,FAIL,73.65,5.01,23.6,-0.78,0.44,0.51,53.18,"0,78 dunkler","0,44 röter","0,51 gelber",0.72,16 (06.09.2022 07:26:14)
9,BP 110/02 (717231),ZSK 70.8,22010638,18:00,36,Trainee,11,3.15,FAIL,72.06,5.78,24.78,-2.37,1.2,1.7,56.81,"2,37 dunkler","1,20 röter","1,70 gelber",2.14,20 (06.09.2022 09:43:01)
10,BP 110/02 (717231),ZSK 70.8,22010638,6:00,36,Trainee,11,2.77,FAIL,72.43,5.65,24.66,-2.01,1.07,1.58,56.28,"2,01 dunkler","1,07 röter","1,58 gelber",1.86,21 (06.09.2022 09:44:24)
11,BP 110/02 (717231),ZSK 70.8,22010638 AA,6:00,36,Trainee,11,3.35,FAIL,72.02,5.92,24.97,-2.42,1.34,1.89,57.3,"2,42 dunkler","1,34 röter","1,89 gelber",2.25,22 (06.09.2022 09:46:01)
12,BP 110/02 (717221),ZSK 70.4,22010662,6:00,36,Trainee,11,3.09,FAIL,72.73,5.42,25.52,-1.71,0.85,2.43,57.34,"1,71 dunkler","0,85 röter","2,43 gelber",1.79,23 (06.09.2022 09:49:14)
13,BP 110/02 (717221),ZSK 70.5,22010662,6:00,36,Trainee,11,1.14,FAIL,73.88,4.73,24.06,-0.56,0.16,0.98,53.59,"0,56 dunkler","0,16 röter","0,98 gelber",0.63,24 (06.09.2022 09:50:43)
14,BP 110/02 (717221),ZSK 70.4,22010663,6:00,36,Trainee,11,1.81,FAIL,76.01,3.68,23.11,1.57,-0.9,0.03,49.92,"1,57 heller","0,90 weniger rot","0,03 gelber",1.44,40 (07.09.2022 08:51:21)
15,BP 110/02 (717221),ZSK 70.5,22010663,6:00,36,Trainee,11,0.74,PASS,75.11,4.27,23.03,0.67,-0.31,-0.05,50.77,"0,67 heller","0,31 weniger rot","0,05 weniger gelb",0.57,41 (07.09.2022 08:52:47)
16,BP 110/02 (717221),ZSK 70.8,22010638 1-22 AA,15:33,36,Trainee,11,2.33,FAIL,73.05,5.38,24.78,-1.38,0.8,1.69,55.87,"1,38 dunkler","0,80 röter","1,69 gelber",1.42,43 (07.09.2022 09:27:31)
17,BP 110/02 (717221),MP,22010663 1-22 AA,8:16,36,Trainee,11,1.06,FAIL,75.42,4.19,23.12,0.98,-0.39,0.03,50.69,"0,98 heller","0,39 weniger rot","0,03 gelber",0.81,47 (07.09.2022 09:34:15)
