Typ;Nr;Artikelnr;Artikelbez 1;Plangrp;Sollmenge;Istmenge;Kst Id;Beginn;Ende;
20;19036;999999;EXP G21M ;70/7+10;26143;7000;ZSK 70/10;30.06.2022 16:15:00;30.06.2022 23:59:00;
20;19036;999999;EXP G21M ;70/7+10;26143;7000;ZSK 70/7;30.06.2022 16:15:00;30.06.2022 23:59:00;
20;19036;999999;EXP G21M ;70/7+10;26143;7000;ZSK 70/10;30.06.2022 16:15:00;30.06.2022 23:59:00;
20;19036;999999;EXP G21M ;70/7+10;26143;0;ZSK 70/7;30.06.2022 16:45:00;30.06.2022 23:59:00;
20;19036;999999;EXP G21M ;70/7+10;26143;6000;ZSK 70/7;01.07.2022 00:00:00;01.07.2022 21:00:00;
20;19036;999999;EXP G21M ;70/7+10;26143;6143;ZSK 70/10;01.07.2022 00:00:00;01.07.2022 19:15:00;
20;19036;999999;EXP G21M ;70/7+10;26143;-7000;ZSK 70/10;30.06.2022 16:15:00;30.06.2022 23:59:00;
20;19036;999999;EXP G21M ;70/7+10;26143;7000;ZSK 70/10;30.06.2022 00:00:00;30.06.2022 00:00:00;
20;19036;999999;EXP G21M ;70/7+10;26143;-7000;ZSK 70/10;30.06.2022 16:15:00;30.06.2022 23:59:00;
20;19036;999999;EXP G21M ;70/7+10;26143;-7000;ZSK 70/7;30.06.2022 16:15:00;30.06.2022 23:59:00;
20;19036;999999;EXP G21M ;70/7+10;26143;7000;ZSK 70/7;30.06.2022 00:00:00;30.06.2022 00:00:00;
