Typ;Nr;Artikelnr;Artikelbez 1;Plangrp;Sollmenge;Istmenge;Kst Id;Beginn;Ende;
20;19631;717021;BIOPLAST 110/01;70/4+5+9B;22000;7500;ZSK 70/4;10.11.2022 20:45:00;11.11.2022 06:50:00;
20;19631;717021;BIOPLAST 110/01;70/4+5+9B;22000;7500;ZSK 70/5;10.11.2022 20:45:00;11.11.2022 06:50:00;
20;19631;717021;BIOPLAST 110/01;70/4+5+9B;22000;7000;ZSK 70/9;10.11.2022 20:45:00;11.11.2022 06:50:00;
20;19631;717021;BIOPLAST 110/01;70/4+5+9B;22000;-7500;ZSK 70/4;10.11.2022 20:45:00;11.11.2022 06:50:00;
20;19631;717021;BIOPLAST 110/01;70/4+5+9B;22000;-7500;ZSK 70/5;10.11.2022 20:45:00;11.11.2022 06:50:00;
20;19631;717021;BIOPLAST 110/01;70/4+5+9B;22000;-7000;ZSK 70/9;10.11.2022 20:45:00;11.11.2022 06:50:00;
20;19631;717021;BIOPLAST 110/01;70/4+5+9B;22000;7500;ZSK 70/4;10.11.2022 20:45:00;11.11.2022 06:50:00;
20;19631;717021;BIOPLAST 110/01;70/4+5+9B;22000;7500;ZSK 70/5;10.11.2022 20:45:00;11.11.2022 06:50:00;
20;19631;717021;BIOPLAST 110/01;70/4+5+9B;22000;7000;ZSK 70/9;10.11.2022 20:45:00;11.11.2022 06:50:00;
20;19631;717021;BIOPLAST 110/01;70/4+5+9B;22000;0;ZSK 70/5;12.11.2022 00:00:00;12.11.2022 00:00:00;
