,Produktname,Produktionsanlage,Charge,Uhrzeit,L*(D65),a*(D65),b*(D65),YI(E313-98)(D65)
0,BP 110/02 (717221),ZSK 70.8,22010314,18:00,73.47,4.64,23.09,52.03
1,BP 110/02 (717221),ZSK 70.8,22010315,11:00,72.5,5.18,23.46,53.71
2,BP 110/02 (717221),ZSK 70.5,22010373,11:00,76.41,3.76,21.79,47.55
3,BP 110/02 (717221),ZSK 70.4,22010373,12:15,75.71,4.09,22.69,49.73
4,BP 110/02 (717221),ZSK 70.4,22010373,12:15,76.01,3.92,22.75,49.54
5,BP 110/02 (717221),ZSK 70.8,22010315,18:00,73.15,4.97,23.9,53.92
6,BP 110/02 (717221),ZSK 70.8,22010315,23:15,73.18,4.92,23.26,52.75
7,BP 110/02 (717221),ZSK 70.8,22010316,6:00,72.39,5.18,23.06,53.06
8,BP 110/02 (717221),ZSK 70.4,22010374,6:00,75.83,3.8,22.64,49.31
9,BP 110/02 (717221),ZSK 70.5,22010374,6:00,76.33,3.58,21.57,47.02
10,BP 110/02 (717221),ZSK 70.9,22010374,6:00,75.91,3.7,21.98,48.04
11,BP 110/02 (717221),ZSK 70.8,22010349,6:00,72.64,5.01,22.83,52.36
12,BP 110/02 (717221),ZSK 70.4,22010376,6:00,75.91,3.74,22.49,48.95
13,BP 110/02 (717221),ZSK 70.5,22010376,6:00,75.42,4,22.68,49.76
14,BP 110/02 (717221),ZSK 70.9,22010376,6:00,76.25,3.33,21.37,46.47
15,BP 110/02 (717221),ZSK 70.4,22010376,6:00,75.83,3.87,22.64,49.38
16,BP 110/02 (717221),ZSK 70.5,22010378,6:00,76.03,3.86,21.72,47.68
17,BP 110/02 (717221),ZSK 70.4,22010377,18:00,75.61,3.99,23.27,50.67
18,BP 110/02 (717221),ZSK 70.5,22010377,18:00,75.92,3.83,23.07,50.02
19,BP 110/02 (717221),ZSK 70.9,22010377,18:00,76.31,3.5,21.99,47.69
20,BP 110/02 (717221),ZSK 70.8,22010350,18:00,73.4,4.82,22.99,52.07
21,BP 110/02 (717221),ZSK 70.8,22010350,6:00,71.77,5.5,22.88,53.38
22,BP 110/02 (717221),ZSK 70.4,22010387,6:00,74.05,4.88,24.2,53.88
23,BP 110/02 (717221),ZSK 70.5,22010387,6:00,76.28,3.9,22.49,48.93
24,BP 110/02 (717221),ZSK 70.4,22010386,18:00,75.95,4.12,22.66,49.59
25,BP 110/02 (717221),ZSK 70.5,22010386,18:00,76.62,3.65,22.42,48.43
26,BP 110/02 (717221),ZSK 70.9,22010386,18:00,77.16,3.51,22.23,47.73
27,BP 110/02 (717221),ZSK 70.8,22010354,18:00,71.96,5.39,24.01,55.15
28,BP 110/02 (717221),ZSK 70.8,22010354,6:00,72.7,5.31,23.64,54.03
29,BP 110/02 (717221),ZSK 70.4,22010388,6:00,75.24,3.99,22.46,49.47
30,BP 110/02 (717221),ZSK 70.9,22010388,6:00,77.61,2.73,20.63,44.04
31,BP 110/02 (717221),ZSK 70.8,22010355,18:00,72.02,5.43,23.98,55.1
32,BP 110/02 (717221),ZSK 70.8,22010355,18:00,71.39,5.72,24.27,56.23
33,BP 110/02 (717221),ZSK 70.8,22010355,2:09,71.95,5.43,23.61,54.5
34,BP 110/02 (717221),ZSK 70.8,22010356,6:00,71.35,5.61,23.63,55.04
35,BP 110/02 (717221),ZSK 70.4,22010390,6:00,74.96,4.49,23.86,52.46
36,BP 110/02 (717221),ZSK 70.5,22010390,6:00,75.15,4.11,23.98,52.21
37,BP 110/02 (717221),ZSK 70.5,22010390,6:00,77.71,2.99,21.18,45.2
38,BP 110/02 (717221),ZSK 70.8,22010357,6:00,72.81,4.88,22.88,52.24
39,BP 110/02 (717221),ZSK 70.8,22010357,6:00,72.82,5.02,22.98,52.54
40,BP 110/02 (717221),ZSK 70.8,22010356,18:00,72.38,5.19,23.32,53.52
41,BP 110/02 (717221),ZSK 70.8,22010356,18:00,71.66,5.54,24.11,55.64
42,BP 110/02 (717221),ZSK 70.9,22010389,18:00,78.33,2.84,20.57,43.74
43,BP 110/02 (717221),ZSK 70.5,22010389,18:00,76.14,3.68,22.76,49.25
44,BP 110/02 (717221),ZSK 70.4,22010394,10:00,74.6,4.49,24.08,53.02
45,BP 110/02 (717221),ZSK 70.8,22010358,10:00,72.02,5.44,23.83,54.86
46,BP 110/02 (717221),ZSK 70.5,22010394,10:00,76.05,3.58,22.23,48.28
47,BP 110/02 (717221),ZSK 70.9,22010394,10:00,77.91,2.99,21,44.81
48,BP 110/02 (717221),ZSK 70.4,22010395,6:00,74.73,4.38,23.54,51.93
49,BP 110/02 (717221),ZSK 70.5,22010395,6:00,76.21,3.76,22.6,49.03
50,BP 110/02 (717221),ZSK 70.9,22010395,6:00,77.45,3.02,21.7,46.24
51,BP 110/02 (717221),ZSK 70.8,22010358,18:00,72.12,5.43,23.76,54.67
52,BP 110/02 (717221),ZSK 70.8,22010359,18:00,72.62,5.2,24.03,54.64
53,BP 110/02 (717221),ZSK 70.8,22010359,6:00,71.83,5.52,23.84,55.05
54,BP 110/02 (717221),ZSK 70.8,22010361,8:00,72.38,5.09,23.59,53.91
55,BP 110/02 (717221),ZSK 70.8,22010362,6:00,73.92,4.36,22.93,51.25
56,BP 110/02 (717221),ZSK 70.8,22010362,6:00,74.1,4.49,23.21,51.77
57,BP 110/02 (717221),ZSK 70.4,22010395,6:00,75.96,3.74,22.91,49.65
58,BP 110/02 (717221),ZSK 70.5,22010395,6:00,76.18,3.74,22.55,48.93
59,BP 110/02 (717221),ZSK 70.9,22010395,6:00,76.71,3.4,22.02,47.46
60,BP 110/02 (717221),ZSK 70.8,22010361,18:00,72.44,5.19,24,54.68
61,BP 110/02 (717221),ZSK 70.8,22010362,18:00,74.33,4.27,23.13,51.32
62,BP 110/02 (717221),ZSK 70.8,22010362,18:00,74.82,4.16,22.63,50.11
63,BP 110/02 (717221),ZSK 70.8,22010362,18:28,74.91,4.15,22.74,50.25
64,BP 110/02 (717221),ZSK 70.8,99220320,6:00,72.83,4.84,23.63,53.48
65,BP 110/02 (717221),ZSK 70.8,99220320,6:00,73.3,4.87,23.53,53.11
66,BP 110/02 (717221),ZSK 70.4,22010401,6:00,75.82,3.73,22.27,48.61
67,BP 110/02 (717221),ZSK 70.5,22010401,6:00,75.74,3.68,21.86,47.88
68,BP 110/02 (717221),ZSK 70.9,22010401,6:00,76.49,3.66,22,47.77
69,BP 110/02 (717221),ZSK 70.9,22010400,18:00,76.62,3.59,21.45,46.69
70,BP 110/02 (717221),ZSK 70.4,22010400,18:00,76.27,3.72,22.6,48.95
71,BP 110/02 (717221),ZSK 70.5,22010400,18:00,75.66,3.88,22.86,49.85
72,BP 110/02 (717221),ZSK 70.8,99220320,18:00,73.32,4.78,23.47,52.9
73,BP 110/02 (717221),ZSK 70.8,99220320,18:00,73.65,4.69,23.44,52.59
74,BP 110/02 (717221),ZSK 70.8,22010363,6:00,75.17,4.22,22.43,49.66
75,BP 110/02 (717221),ZSK 70.4,22010403,18:00,76.61,3.6,22.47,48.47
76,BP 110/02 (717221),ZSK 70.9,22010403,18:00,77.18,3.52,21.75,46.91
77,BP 110/02 (717221),ZSK 70.5,22010403,18:00,76.26,3.77,22.13,48.19
78,BP 110/02 (717221),ZSK 70.9,22010403,18:00,76.32,3.82,22.84,49.45
79,BP 110/02 (717221),ZSK 70.8,22010363,6:00,74.33,4.33,22.34,50.01
80,BP 110/02 (717221),ZSK 70.4,22010404,6:00,75.76,3.7,22.72,49.38
81,BP 110/02 (717221),ZSK 70.9,22010404,6:00,77.18,3.25,22.1,47.24
