"qs_merkmal_id","wertnum","bemerkg","csnr"
"197","11.995","70.7 06:00","22800027"
"197","11.496","70.10 06:00","22800027"
"197","9.9385","70.7+10  18:00 AA","22800027"
"197","10.573","70.7+10 06:00 AA","22800027"
"197","12.23","70.7 06:00","22800027"
"197","10.458","70.7 13:45","22800027"
"197","10.386","MP AA","22800027"
"197",NULL,NULL,"22800027"
"198","1.411","70.7 06:00","22800027"
"198","1.414","70.10 06:00","22800027"
"198","1.413","70.7+10 18:00 AA","22800027"
"198","1.415","70.7+10  06:00 AA","22800027"
"198","1.394","70.7 06:00 23.02.2022","22800027"
"198","1.409","70.7 13:45","22800027"
"198","1.411","MP AA","22800027"
"198",NULL,NULL,"22800027"
"100","0.1","70.7 06:00","22800027"
"100","0.16","70.10 06:00","22800027"
"100","0.08","70.7+10 18:00 AA","22800027"
"100","0.1","70.7+10 06:00 AA","22800027"
"100","0.16","70.7 06:00 23.02.2022","22800027"
"100","0.06","70.10 13:45","22800027"
"100","0.021","MP AA","22800027"
"100",NULL,NULL,"22800027"
"188","0.0",NULL,"22800027"
"188","1.0",NULL,"22800027"
"203","0.106","70.7 06:00","22800027"
"203","0.041","70.10 06:00","22800027"
"203","0.18","70.7+10 18:00 AA","22800027"
"203","0.017","70.7+10 06:00 AA 23.0.","22800027"
"203","0.106","70.7 06:00 23.02.2022","22800027"
"203","0.042","70.10 13:45","22800027"
"203","0.021","MP AA","22800027"
"203",NULL,NULL,"22800027"
"235","19.02","MP AA","22800027"
"235",NULL,NULL,"22800027"
"235",NULL,NULL,"22800027"
"235",NULL,NULL,"22800027"
"235",NULL,NULL,"22800027"
"236","72.11","MP AA","22800027"
"236",NULL,NULL,"22800027"
"236",NULL,NULL,"22800027"
"236",NULL,NULL,"22800027"
"236",NULL,NULL,"22800027"
"237","0.59","MP AA","22800027"
"237",NULL,NULL,"22800027"
"237",NULL,NULL,"22800027"
"237",NULL,NULL,"22800027"
"237",NULL,NULL,"22800027"
"238","7.98","MP AA","22800027"
"238",NULL,NULL,"22800027"
"238",NULL,NULL,"22800027"
"238",NULL,NULL,"22800027"
"238",NULL,NULL,"22800027"
"197","10.17","AA 18.00","22800029"
"197","9.8655","MP","22800029"
"197","12.62","7 06.00","22800029"
"197","9.9176","10 18.00","22800029"
"197",NULL,NULL,"22800029"
"198","1.427","AA 18.00","22800029"
"198","1.413","MP","22800029"
"198","1.419","7 06.00","22800029"
"198","1.407","10 18.00","22800029"
"198",NULL,NULL,"22800029"
"100","0.24","7 06.00","22800029"
"100","0.14","10 18.00","22800029"
"100","0.13","AA 18.00","22800029"
"100","0.13","MP","22800029"
"100",NULL,NULL,"22800029"
"188","0.0",NULL,"22800029"
"188","1.0",NULL,"22800029"
"203","0.043","AA 18.00","22800029"
"203","0.025","MP","22800029"
"203","0.16","7 06.00","22800029"
"203","0.086","10 18.00","22800029"
"203",NULL,NULL,"22800029"
"235","19.88","MP","22800029"
"235",NULL,NULL,"22800029"
"235",NULL,NULL,"22800029"
"235",NULL,NULL,"22800029"
"235",NULL,NULL,"22800029"
"236","72.34","MP","22800029"
"236",NULL,NULL,"22800029"
"236",NULL,NULL,"22800029"
"236",NULL,NULL,"22800029"
"236",NULL,NULL,"22800029"
"237",NULL,NULL,"22800029"
"237","0.52","MP","22800029"
"237",NULL,NULL,"22800029"
"237",NULL,NULL,"22800029"
"237",NULL,NULL,"22800029"
"238","7.89","MP","22800029"
"238",NULL,NULL,"22800029"
"238",NULL,NULL,"22800029"
"238",NULL,NULL,"22800029"
"238",NULL,NULL,"22800029"
"197","11.331","AA 18.00","22800028"
"197","10.835","MP","22800028"
"197","10.964","7 06.00","22800028"
"197","12.801","10 06.00","22800028"
"197","10.353","AA 18.00","22800028"
"198","1.41","AA 18.00","22800028"
"198","1.409","MP","22800028"
"198","1.397","7 06.00","22800028"
"198","1.406","10 06.00","22800028"
