,,,,
Column names,Column,Distribution,Relation,Score
Temperatur Adapter,A0,0.339220218,TRUE,2.330679446
  Temperatur Anfahrventil,A2,0.41176504,TRUE,18.77346188
  Temperatur Schmelze Anfahrventil ,A4,5.26E-40,TRUE,42.62311459
  Druck Schmelze Anfahrventil,A5,5.99E-11,TRUE,32.3829174
  Temperatur Lochplatte,A6,5.52E-14,FALSE,1.573478244
  Drehzahl Granulator,A8,4.83E-08,FALSE,1.088971272
  Drehzahl Granulator,A9,4.86E-08,FALSE,1.110609528
  Anpresskraft Hydraulik Granulator,A10,6.79E-05,FALSE,1.037556585
  Anpresskraft Hydraulik Granulator,A11,5.11E-15,TRUE,7.637584209
  Messerposition,A12,2.20E-12,TRUE,2.921429276
  Druck Wasser,A13,0.000361792,TRUE,22.84508198
  Drehzahl Wasserpumpe,A14,1.89E-07,TRUE,14.30796981
  Drehzahl Wasserpumpe,A15,0.123499076,TRUE,12.11191341
  Wasserdurchfluss,A16,0.122330288,TRUE,11.68103963
  Niveau Wassertank,A17,5.21E-05,TRUE,1.699305139
  Temperatur Wasser im Rohr,A18,8.18E-39,TRUE,3.03298533
  Temperatur Wasser im Tank,A19,8.73E-07,TRUE,5.266942829
  Temperatur Wasser ,A20,9.86E-13,TRUE,4.518996179
  Drehzahl Trockner,A21,8.15E-07,TRUE,6.202025712
  Drehzahl Trockner ,A22,0,FALSE,0.038972843
  Drehzahl Trockner Gebläse,A23,0,FALSE,0.030880028
  Drehzahl Trockner Gebläse,A24,0,TRUE,2.937523648
  Stromstärke Summe,A25,0,FALSE,0.05000094
  Wirkleistung Summe,A26,0.034400872,TRUE,29.39757109
  reserve,A27,0.510815422,TRUE,5.469409004
